Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=PartNumber~String~PartNumber~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer 2~String~Manufacturer 2~100|Field=Manufacturer 3~String~Manufacturer 3~100|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Manufacturer Part Number 3~String~Manufacturer Part Number 3~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier 3~String~Supplier 3~100|Field=Supplier Currency 2~String~Supplier Currency 2~100|Field=Supplier Currency 3~String~Supplier Currency 3~100|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~100|Field=Supplier Order Qty 3~Integer~Supplier Order Qty 3~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Part Number 3~String~Supplier Part Number 3~100|Field=Supplier Stock 2~String~Supplier Stock 2~100|Field=Supplier Stock 3~String~Supplier Stock 3~100|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~100|Field=Supplier Subtotal 3~Float~Supplier Subtotal 3~100|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~100|Field=Supplier Unit Price 3~Float~Supplier Unit Price 3~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~String~Supplier Stock 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Manufacturer~String~Manufacturer~100|ReportField=Currency~EUR|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LaserPower_board.PrjPcb|ReportField=ProjectFullPath~Y:\2019\z_LaserDriverBox_publishing\LaserPower_board\LaserPower_board.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [BOM1.BomDoc]|ReportField=TotalQuantity~31|ReportField=ReportTime~11:23:55|ReportField=ReportDate~09.09.2019|ReportField=ReportDateTime~09.09.2019 11:23:55|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~09.09.2019|ReportField=CurrentTime~10:36:40|ReportField=Date~|ReportField=DocumentFullPathAndName~Y:\2019\z_LaserDriverBox_publishing\LaserPower_board\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~09.09.2019|ReportField=Organization~|ReportField=ProjectName~LaserPower_board.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~BOM1.BomDoc|ReportField=DataSourceFullPath~Y:\2019\z_LaserDriverBox_publishing\LaserPower_board\BOM1.BomDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|100uF|CAP 100uF 6.3V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD|C1|CAPC1206(3216)190_L|CMP-00469-1||1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||||||{URL}{URL.TEXT}{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier|||||||Digi-Key|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885012108005%26seller%3DDigi-Key%26sku%3D732-7633-1-ND%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-7633-1-ND{URL.TIP}Supplier|1944|2,08|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885012108005%26seller%3DDigi-Key%26sku%3D732-7633-1-ND%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885012108005%26seller%3DDigi-Key%26sku%3D732-7633-1-ND%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}885012108005{URL.TIP}Manufacturer|EUR||
2|47uF|CAP 47uF 6.3V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD|C2|CAPC1206(3216)190_M|CMP-00470-A.1||1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DMouser%26sku%3D80-C1206C476M9P%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DMouser%26sku%3D80-C1206C476M9P%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1206C476M9PACTU{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer|Mouser||EUR||1||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DMouser%26sku%3D80-C1206C476M9P%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}80-C1206C476M9P{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier|118545||||0,68||Farnell|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DFarnell%26sku%3D1650902%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1650902{URL.TIP}Supplier|1965||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DFarnell%26sku%3D1650902%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DFarnell%26sku%3D1650902%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1206C476M9PACTU{URL.TIP}Manufacturer|EUR||
3|0805 / 100n|generic_0805_example here 100nF: C0805C104K5RAC 7800SMD-Keramik-Vielschichtkondensator 100 nF, 50 VDC, 0805, ±10 %, X7R|C3, C4|CAPC2013X88X50LL20T25|CMP-001-0082-1||2|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||||||{URL}{URL.TEXT}{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier|||||||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||KEMET
4|47uF 6.3V 1206|CAP 47uF 6.3V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD|C5, C8|CAPC1206(3216)190_M|CMP-00470-A.1||2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DMouser%26sku%3D80-C1206C476M9P%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DMouser%26sku%3D80-C1206C476M9P%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1206C476M9PACTU{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer|Mouser||EUR||2||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DMouser%26sku%3D80-C1206C476M9P%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}80-C1206C476M9P{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier|118545||||0,68||Farnell|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DFarnell%26sku%3D1650902%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1650902{URL.TIP}Supplier|1965||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DFarnell%26sku%3D1650902%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DFarnell%26sku%3D1650902%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1206C476M9PACTU{URL.TIP}Manufacturer|EUR||
5|100n|generic 0805 COG oder X7R Vielschichtkondensatoren max. +/-10%|C9, C10, C102|CAPC2013X88X50ML20T25|CMP-001-0082-2||3|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||||||{URL}{URL.TEXT}{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier|||||||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||
6|CAP 47uF 6.3V 1206(3216)|CAP 47uF 6.3V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD|C103|CAPC1206(3216)190_M|CMP-00470-A.1||1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DMouser%26sku%3D80-C1206C476M9P%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DMouser%26sku%3D80-C1206C476M9P%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1206C476M9PACTU{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer|Mouser||EUR||1||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DMouser%26sku%3D80-C1206C476M9P%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}80-C1206C476M9P{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier|118545||||0,68||Farnell|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DFarnell%26sku%3D1650902%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1650902{URL.TIP}Supplier|1965||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DFarnell%26sku%3D1650902%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C476M9PACTU%26seller%3DFarnell%26sku%3D1650902%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1206C476M9PACTU{URL.TIP}Manufacturer|EUR||
7|ctrl|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|J1|61300211121|CMP-001-0071-1|61300211121|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DRSComponents%26sku%3D828-1581%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DRSComponents%26sku%3D828-1581%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|RSComponents|Digi-Key|EUR|EUR|1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DRSComponents%26sku%3D828-1581%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}828-1581{URL.TIP}Supplier|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-5315-ND{URL.TIP}Supplier|1340|16805|||0,43|0,12|Farnell|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DFarnell%26sku%3D2356153%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2356153{URL.TIP}Supplier|8663||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DFarnell%26sku%3D2356153%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DFarnell%26sku%3D2356153%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|EUR||Wurth Electronics
8|OUT|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|J2|61300211121|CMP-001-0071-1|61300211121|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DRSComponents%26sku%3D828-1581%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DRSComponents%26sku%3D828-1581%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|RSComponents|Digi-Key|EUR|EUR|1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DRSComponents%26sku%3D828-1581%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}828-1581{URL.TIP}Supplier|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-5315-ND{URL.TIP}Supplier|1340|16805|||0,43|0,12|Farnell|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DFarnell%26sku%3D2356153%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2356153{URL.TIP}Supplier|8663||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DFarnell%26sku%3D2356153%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DFarnell%26sku%3D2356153%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|EUR||Wurth Electronics
9|Trigger|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|J3|61300211121|CMP-001-0071-1|61300211121|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DRSComponents%26sku%3D828-1581%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DRSComponents%26sku%3D828-1581%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|RSComponents|Digi-Key|EUR|EUR|1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DRSComponents%26sku%3D828-1581%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}828-1581{URL.TIP}Supplier|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-5315-ND{URL.TIP}Supplier|1340|16805|||0,43|0,12|Farnell|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DFarnell%26sku%3D2356153%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2356153{URL.TIP}Supplier|8663||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DFarnell%26sku%3D2356153%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DFarnell%26sku%3D2356153%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|EUR||Wurth Electronics
10|poti|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|J4|61300211121|CMP-001-0071-1|61300211121|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DRSComponents%26sku%3D828-1581%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DRSComponents%26sku%3D828-1581%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|RSComponents|Digi-Key|EUR|EUR|1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DRSComponents%26sku%3D828-1581%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}828-1581{URL.TIP}Supplier|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-5315-ND{URL.TIP}Supplier|1340|16805|||0,43|0,12|Farnell|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DFarnell%26sku%3D2356153%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2356153{URL.TIP}Supplier|8663||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DFarnell%26sku%3D2356153%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DFarnell%26sku%3D2356153%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|EUR||Wurth Electronics
